FROM_INCIDENT_ID	TO_INCIDENT_ID
330566	546901
611660	330566
611660	546901
611660	546901
960393	241340
140365	285487
390195	145704
145704	044890
044890	145704
044890	145704
390195	044890
044890	390195
145704	044890
716436	648237
716436	648237
076119	259325
259325	076119
259325	076119
076119	259325
126873	830514
858294	448711
448711	858294
503928	712498
712498	503928
503928	712498
712498	503928
921193	401680
401680	921193
401680	921193
921193	401680
674546	111974
194050	536786
536786	194050
536786	471691
536786	159693
159693	536786
471691	536786
536786	159693
471691	159693
159693	536786
159693	471691
536786	471691
194050	471691
159693	471691
471691	536786
471691	194050
471691	159693
194050	536786
194050	159693
536786	194050
194050	471691
159693	194050
159693	194050
194050	159693
471691	194050
771430	616101
616101	237435
616101	771430
237435	616101
771430	237435
237435	616101
616101	237435
237435	771430
237435	771430
771430	237435
616101	771430
771430	616101
118507	131898
131898	118507
131898	118507
118507	131898
998313	257533
257533	998313
998313	257533
257533	998313
019837	973401
973401	772417
772417	973401
973401	019837
772417	973401
973401	772417
772417	019837
019837	772417
973401	019837
019837	772417
772417	019837
019837	973401
550788	466624
541998	466624
837045	466624
594646	466624
732937	466624
720390	466624
351275	466624
351275	550788
550788	720390
550788	351275
550788	466624
550788	541998
550788	550788
720390	550788
541998	550788
594646	550788
550788	594646
550788	837045
732937	550788
550788	732937
837045	550788
351275	837045
351275	550788
550788	351275
351275	541998
351275	351275
720390	351275
351275	720390
594646	351275
351275	466624
837045	351275
351275	594646
351275	732937
541998	351275
732937	351275
720390	594646
720390	732937
550788	720390
732937	720390
720390	550788
720390	541998
837045	720390
720390	720390
720390	351275
720390	466624
351275	720390
541998	720390
594646	720390
720390	837045
837045	732937
351275	837045
594646	837045
837045	466624
732937	837045
837045	541998
837045	594646
541998	837045
837045	720390
550788	837045
837045	351275
837045	837045
720390	837045
837045	550788
837045	732937
720390	732937
732937	720390
732937	837045
541998	732937
594646	732937
732937	466624
732937	550788
351275	732937
550788	732937
732937	351275
720390	594646
594646	837045
594646	550788
837045	594646
550788	594646
594646	732937
594646	466624
594646	351275
594646	720390
351275	594646
541998	594646
351275	541998
550788	541998
541998	466624
837045	541998
720390	541998
541998	732937
541998	550788
541998	837045
541998	720390
541998	594646
541998	351275
318201	310685
310685	318201
318201	310685
310685	318201
504245	599597
599597	504245
939865	210154
939865	210154
675575	229773
229773	675575
297974	675575
675575	297974
675575	229773
229773	297974
297974	229773
229773	675575
699984	538209
699984	538209
814049	410511
410511	852429
410511	852429
814049	852429
814049	852429
814049	410511
160354	565037
565037	160354
030554	830752
830752	030554
030554	830752
830752	030554
553357	249229
611543	854824
854824	631339
854824	000512
854824	611543
000512	854824
854824	488401
488401	854824
667592	178163
220178	667592
178163	667592
667592	488401
488401	667592
667592	220178
220178	488401
488401	178163
178163	488401
488401	220178
667592	488401
488401	667592
854824	488401
488401	854824
667592	178163
488401	178163
178163	667592
178163	488401
220178	178163
220178	488401
220178	667592
488401	220178
667592	220178
220178	178163
631339	854824
113918	337614
736527	423200
736527	701020
701020	736527
423200	701020
701020	423200
736527	701020
423200	736527
423200	701020
736527	423200
701020	423200
701020	736527
423200	736527
714314	783474
714314	783474
969629	866058
866058	969629
969629	866058
866058	969629
089211	452624
269276	089211
289647	452624
452624	089211
289647	269276
269276	452624
269276	289647
452624	269276
269276	038683
089211	269276
038683	269276
038683	452624
452624	269276
452624	038683
269276	452624
452624	289647
