FROM_INCIDENT_ID	TO_INCIDENT_ID
580485	407693
407693	580485
301207	889823
889823	301207
156839	670433
504695	061686
163757	061686
265672	061686
127316	061686
768517	061686
265672	061686
163757	265672
265672	768517
127316	265672
499227	822647
499227	406861
499227	032261
169415	499227
855543	499227
499227	161115
161115	499227
822647	499227
785215	499227
406861	499227
499227	021336
292803	499227
021336	499227
499227	855543
032261	499227
499227	785215
499227	169415
499227	292803
385759	499227
499227	385759
779505	023437
907371	254093
200667	254093
340375	254093
464815	751766
751766	464815
569355	464815
464815	569355
802480	528225
528225	802480
528225	264395
264395	528225
436249	824003
824003	351128
701492	351128
522787	351128
436249	351128
436249	351128
715473	610911
610911	715473
968075	641997
641997	968075
902198	256011
256011	902198
322322	256011
256011	322322
127130	378645
673446	378645
378645	127130
378645	673446
593356	579294
172510	037445
037445	172510
934373	065467
065467	934373
247689	262355
262355	247689
412260	247689
247689	412260
