signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,102,226,249,404,1,0.616336633663,0.663755323056,0.568917944271,0.486277480116,0.0241932088738
2,63,87,147,178,2,0.825842696629,0.881556856003,0.770128537255,0.379244692848,0.0284255915173
3,33,38,84,91,3,0.923076923077,0.977826736801,0.868327109352,0.266469355011,0.0279335784309
4,20,22,51,53,4,0.962264150943,1,0.910961199243,0.19055669695,0.0261749753573
5,12,12,31,31,5,1.0,1.0,1.0,0.0,0.0
6,7,7,19,19,6,1.0,1.0,1.0,0.0,0.0
7,5,5,12,12,7,1.0,1.0,1.0,0.0,0.0
8,4,4,7,7,8,1.0,1.0,1.0,0.0,0.0
9,2,2,3,3,9,1.0,1.0,1.0,0.0,0.0
10,0,0,1,1,10,1.0,1.0,1.0,0.0,0.0
11,0,0,1,1,11,1.0,1.0,1.0,0.0,0.0
12,1,1,1,1,12,1.0,1.0,1.0,0.0,0.0
