439943(0.54),241854(1.0)
692644(1.0),48575(1.0)
692644(1.0),339118(1.0)
692644(1.0),36103(1.0)
984338(1.0),394420(1.0)
984338(1.0),741921(1.0)
984338(1.0),104814(1.0)
914704(1.0),353102(0.54)
369116(1.0),172006(1.0)
369116(1.0),376032(1.0)
563203(1.0),541072(0.54)
376032(1.0),172006(1.0)
548506(1.0),510192(0.54)
548506(1.0),493627(1.0)
548506(1.0),434542(0.54)
548506(1.0),769597(0.54)
710859(1.0),960210(1.0)
137796(1.0),57815(1.0)
636234(1.0),437470(0.54)
529722(1.0),662881(1.0)
143792(1.0),222446(0.54)
143792(1.0),923700(0.78)
70161(1.0),223855(1.0)
70161(1.0),853095(1.0)
70161(1.0),737318(1.0)
798246(1.0),930926(1.0)
798246(1.0),114475(1.0)
798246(1.0),392953(1.0)
798246(1.0),562696(1.0)
648982(0.54),624988(1.0)
797747(1.0),774585(0.54)
299094(0.54),684815(1.0)
737318(1.0),223855(1.0)
737318(1.0),853095(1.0)
662881(1.0),594372(1.0)
662881(1.0),491769(1.0)
662881(1.0),271816(1.0)
767648(1.0),384393(1.0)
622413(1.0),258991(1.0)
152233(1.0),110552(1.0)
141034(1.0),709850(1.0)
547450(1.0),912217(1.0)
547450(1.0),814592(1.0)
648742(1.0),784875(1.0)
70499(1.0),852687(1.0)
499406(1.0),270892(0.54)
401212(1.0),845279(1.0)
401212(1.0),259724(1.0)
401212(1.0),780935(1.0)
847312(1.0),208386(1.0)
847312(1.0),329060(1.0)
981840(1.0),855284(1.0)
75277(0.54),943926(1.0)
13489(1.0),862311(1.0)
755924(1.0),618152(1.0)
755924(1.0),928930(0.54)
210580(1.0),239816(1.0)
210580(1.0),206916(1.0)
210580(1.0),261266(1.0)
210580(1.0),615704(1.0)
210580(1.0),636233(1.0)
815461(1.0),442749(0.54)
239816(1.0),615704(1.0)
239816(1.0),206916(1.0)
239816(1.0),261266(1.0)
239816(1.0),636233(1.0)
364332(1.0),196458(1.0)
636011(0.54),660044(1.0)
205100(1.0),839076(0.54)
742579(1.0),31683(0.54)
820269(1.0),568892(1.0)
826418(1.0),430117(1.0)
651198(0.54),909690(1.0)
515047(1.0),719993(1.0)
515047(1.0),756727(1.0)
517363(1.0),887363(1.0)
139693(1.0),951551(1.0)
490188(1.0),605322(1.0)
787654(1.0),183858(1.0)
787654(1.0),892204(1.0)
787654(1.0),330100(1.0)
2090(1.0),301897(1.0)
2090(1.0),511409(1.0)
2090(1.0),821884(1.0)
392953(1.0),930926(1.0)
392953(1.0),114475(1.0)
392953(1.0),562696(1.0)
109325(1.0),907716(1.0)
109325(1.0),524623(1.0)
109325(1.0),689643(1.0)
109325(1.0),595146(0.78)
330100(1.0),183858(1.0)
330100(1.0),492360(1.0)
330100(1.0),892204(1.0)
571678(0.54),99344(1.0)
149174(1.0),157833(1.0)
448835(1.0),810519(1.0)
448835(1.0),504114(1.0)
448835(1.0),789368(1.0)
576783(1.0),962135(0.54)
697615(1.0),781624(0.54)
697615(1.0),908544(1.0)
697615(1.0),499751(1.0)
28952(1.0),111002(1.0)
511409(1.0),301897(1.0)
511409(1.0),821884(1.0)
108485(0.54),63076(1.0)
292691(1.0),124584(1.0)
718752(1.0),609908(1.0)
606823(1.0),812432(0.78)
606823(1.0),649853(1.0)
606823(1.0),313492(1.0)
622741(0.54),533455(1.0)
57815(1.0),563352(1.0)
57815(1.0),693859(1.0)
57815(1.0),253514(1.0)
977110(1.0),695487(1.0)
839589(1.0),330176(0.54)
568892(1.0),947769(1.0)
568892(1.0),499137(1.0)
568892(1.0),15506(1.0)
499137(1.0),44799(1.0)
499137(1.0),15506(1.0)
159355(1.0),498715(1.0)
288742(1.0),744264(0.54)
727086(1.0),323599(1.0)
85883(1.0),493627(1.0)
85883(1.0),880668(1.0)
85883(1.0),733937(1.0)
784997(1.0),597233(1.0)
447629(1.0),47861(1.0)
447629(1.0),10120(1.0)
447629(1.0),582283(1.0)
70773(1.0),964750(0.54)
994945(1.0),492360(1.0)
994945(1.0),664654(0.54)
812432(0.78),649853(1.0)
812432(0.78),313492(1.0)
527192(1.0),527872(1.0)
527192(1.0),198859(1.0)
926033(1.0),991472(1.0)
809145(1.0),512060(1.0)
10120(1.0),47861(1.0)
10120(1.0),582283(1.0)
544003(0.54),196458(1.0)
959817(1.0),169649(0.54)
