644113(1.0),499915(1.0)
644113(1.0),442078(1.0)
442078(1.0),499915(1.0)
442078(1.0),387372(1.0)
442078(1.0),37790(0.61)
69861(1.0),3035(1.0)
102493(1.0),386806(1.0)
102493(1.0),705378(1.0)
102493(1.0),582072(1.0)
102493(1.0),807077(1.0)
102493(1.0),347158(1.0)
102493(1.0),595123(1.0)
102493(1.0),92914(1.0)
102493(1.0),763423(1.0)
347158(1.0),461283(1.0)
347158(1.0),92914(1.0)
673840(1.0),177342(1.0)
673840(1.0),795801(1.0)
673840(1.0),466515(1.0)
673840(1.0),751780(0.73)
320877(1.0),534440(1.0)
881114(1.0),431033(1.0)
881114(1.0),45997(1.0)
990451(1.0),998457(1.0)
595123(1.0),763423(1.0)
595123(1.0),705378(1.0)
795801(1.0),177342(1.0)
795801(1.0),751780(0.73)
795801(1.0),466515(1.0)
698071(1.0),411308(1.0)
698071(1.0),93628(1.0)
698071(1.0),89613(1.0)
698071(1.0),933835(1.0)
698071(1.0),861897(1.0)
698071(1.0),964397(1.0)
710298(0.61),574332(1.0)
763423(1.0),386806(1.0)
763423(1.0),705378(1.0)
763423(1.0),582072(1.0)
763423(1.0),807077(1.0)
763423(1.0),305202(1.0)
763423(1.0),92914(1.0)
792890(1.0),882130(1.0)
792890(1.0),339629(1.0)
431318(1.0),796956(1.0)
793106(1.0),617919(0.72)
793106(1.0),964397(1.0)
119894(1.0),793527(0.72)
119894(1.0),92914(1.0)
705378(1.0),842425(1.0)
705378(1.0),796956(1.0)
705378(1.0),119582(1.0)
705378(1.0),706804(1.0)
705378(1.0),92914(1.0)
499915(1.0),387372(1.0)
177342(1.0),466515(1.0)
177342(1.0),751780(0.73)
882130(1.0),339629(1.0)
89613(1.0),411308(1.0)
89613(1.0),93628(1.0)
89613(1.0),964397(1.0)
89613(1.0),933835(1.0)
89613(1.0),127986(1.0)
127986(1.0),861897(1.0)
387372(1.0),796956(1.0)
387372(1.0),662402(1.0)
469085(1.0),796956(1.0)
469085(1.0),451837(0.61)
721004(1.0),796956(1.0)
411308(1.0),93628(1.0)
411308(1.0),964397(1.0)
93628(1.0),933835(1.0)
93628(1.0),861897(1.0)
93628(1.0),964397(1.0)
582072(1.0),386806(1.0)
582072(1.0),92914(1.0)
582072(1.0),807077(1.0)
796956(1.0),662402(1.0)
796956(1.0),807077(1.0)
796956(1.0),119582(1.0)
796956(1.0),706804(1.0)
796956(1.0),92914(1.0)
617919(0.72),964397(1.0)
964397(1.0),933835(1.0)
292097(1.0),339629(1.0)
461283(1.0),92914(1.0)
466515(1.0),751780(0.73)
793527(0.72),92914(1.0)
386806(1.0),92914(1.0)
386806(1.0),807077(1.0)
431033(1.0),45997(1.0)
807077(1.0),92914(1.0)
