IR,Num. Groups,Member Sub-Groups,,,,,,Conn. Sub-Groups
606641,4,GANG-G224-SUB-1,GANG-G374,GANG-G450-SUB-2,,,,GANG-G532-SUB-2,
875419,3,GANG-G450-SUB-2,,,,,,GANG-G224-SUB-1,GANG-G374,
44815,3,GANG-G224-SUB-1,GANG-G450-SUB-2,,,,,GANG-G374,
376427,3,GANG-G450-SUB-1,,,,,,GANG-G450-SUB-OTHERS,GANG-G374,
344440,3,GANG-G450-SUB-2,,,,,,GANG-G224-SUB-1,GANG-G374,
202446,3,GANG-G224-SUB-1,GANG-G374,GANG-G450-SUB-2,,,,
148506,3,GANG-G224-SUB-1,GANG-G374,GANG-G450-SUB-2,,,,
957539,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G450-SUB-1,
942766,2,GANG-G110,,,,,,GANG-G224-SUB-OTHERS,
834906,2,GANG-G450-SUB-1,,,,,,GANG-G374,
751116,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G450-SUB-1,
701453,2,GANG-G450-SUB-1,,,,,,GANG-G374,
664011,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G450-SUB-1,
612897,2,GANG-G374,GANG-G450-SUB-OTHERS,,,,,
607372,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G784-SUB-2,
513191,2,GANG-G374,GANG-G450-SUB-1,,,,,
513144,2,GANG-G374,GANG-G450-SUB-1,,,,,
49834,2,GANG-G450-SUB-1,,,,,,GANG-G374,
446706,2,GANG-G450-SUB-1,,,,,,GANG-G374,
43854,2,GANG-G450-SUB-1,,,,,,GANG-G374,
427721,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G450-SUB-1,
351204,2,GANG-G450-SUB-1,,,,,,GANG-G374,
131653,2,GANG-G450-SUB-OTHERS,,,,,,GANG-G374,
110552,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,,
