f,gnode,inbound,deltaT,signals,outbound,rawRatio,totalSupportInstances,positiveSupportInstances,stdDev,stdErr
notInGang,taut,[1.0:1.0],1,11,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,10,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,13,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,12,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,15,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,14,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,17,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,16,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,19,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,18,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,20,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,1,[0.604831842131:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,3,[0.897165160197:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,2,[0.730602005589:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,5,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,4,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,7,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,6,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,9,[0.918557781579:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,8,[0.918557781579:1.0],0,0,0,0,0
