signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,14,26,50,69,1,0.724637681159,0.830038561413,0.619236800906,0.446696666882,0.0537759593131
2,11,14,36,43,2,0.837209302326,0.947554556245,0.726864048406,0.369174601544,0.0562985989386
3,10,11,25,29,3,0.862068965517,0.987573400975,0.73656453006,0.344827586207,0.0640328752335
4,3,5,15,18,4,0.833333333333,1,0.661164882946,0.37267799625,0.0878410461158
5,2,2,12,13,5,0.923076923077,1,0.778222531635,0.266469355011,0.0739053017562
6,5,6,10,11,6,0.909090909091,1,0.739201211371,0.287479787288,0.0866784172041
7,0,0,5,5,7,1.0,1.0,1.0,0.0,0.0
8,3,3,5,5,8,1.0,1.0,1.0,0.0,0.0
9,0,0,2,2,9,1.0,1.0,1.0,0.0,0.0
10,2,2,2,2,10,1.0,1.0,1.0,0.0,0.0
