node,taut,notInGang
850234,1,1
838840,1,1
31683,1,1
110552,1,1
899266,1,1
104814,1,1
329364,1,1
202446,1,1
70369,1,1
469477,1,1
360534,1,1
983419,1,1
49834,1,1
824927,1,1
330100,1,1
574332,1,0
631282,1,1
475213,1,1
505825,1,1
517363,1,1
800693,1,1
512245,1,1
890482,1,1
684335,1,1
120906,1,1
561729,1,1
283383,1,1
142104,1,1
601380,1,1
201055,1,1
660044,1,1
7811,1,1
775723,1,1
810519,1,1
953731,1,1
241854,1,1
92308,1,1
435484,1,1
864167,1,1
36103,1,1
933699,1,1
228750,1,1
89494,1,1
419927,1,1
202199,1,1
183858,1,1
334138,1,1
364332,1,1
861897,1,0
515998,1,1
316369,1,1
632004,1,1
565271,1,1
895233,1,1
990451,1,0
956703,1,1
273810,1,1
429702,1,1
362326,1,1
431318,1,0
116920,1,1
494821,1,1
858160,1,1
541999,1,1
151553,1,1
12064,1,1
322529,1,1
379009,1,1
114475,1,1
427721,1,1
402356,1,1
788462,1,1
756727,1,1
70773,1,1
782917,1,1
492360,1,1
373280,1,1
771058,1,1
293335,1,1
676374,1,1
92000,1,1
139693,1,1
620742,1,1
527192,1,1
348273,1,1
798696,1,1
649853,1,1
878203,1,1
667680,1,1
447001,1,1
281620,1,1
643494,1,1
547491,1,1
297700,1,1
442078,1,0
229612,1,1
129784,1,1
602850,1,1
428657,1,1
323599,1,1
826418,1,1
410463,1,1
792890,1,0
555531,1,1
202263,1,1
450434,1,1
904378,1,1
510192,1,1
759525,1,1
662881,1,1
95351,1,1
843356,1,1
444613,1,1
680838,1,1
518212,1,1
650629,1,1
612897,1,1
495597,1,1
644113,1,0
646647,1,1
224117,1,1
845279,1,1
230850,1,1
698071,1,0
137940,1,1
215616,1,1
718752,1,1
848030,1,1
130411,1,1
511438,1,1
485591,1,1
630686,1,1
153255,1,1
948532,1,1
728191,1,1
693801,1,1
631029,1,1
293601,1,1
415926,1,1
853061,1,1
636011,1,1
821958,1,1
962249,1,1
652354,1,1
867564,1,1
192285,1,1
604855,1,1
93628,1,0
531250,1,1
594886,1,1
245488,1,1
484064,1,1
353266,1,1
196458,1,1
904977,1,1
57501,1,1
485825,1,1
138935,1,1
767562,1,1
591229,1,1
789368,1,1
770647,1,1
606823,1,1
582072,1,0
738386,1,1
812432,1,1
646559,1,1
875419,1,1
887507,1,1
980886,1,1
431033,1,0
505602,1,1
813747,1,1
54555,1,1
911420,1,1
408605,1,1
499065,1,1
740596,1,1
229970,1,1
152233,1,1
820444,1,1
822493,1,1
782336,1,1
21686,1,1
892204,1,1
500863,1,1
80090,1,1
940924,1,1
157833,1,1
664011,1,1
483420,1,1
982764,1,1
720631,1,1
22666,1,1
764800,1,1
90099,1,1
530485,1,1
564216,1,1
61334,1,1
376032,1,1
204462,1,1
599330,1,1
650960,1,1
841572,1,1
662402,1,0
618289,1,1
300109,1,1
621117,1,1
784875,1,1
914704,1,1
92914,1,0
598950,1,1
680691,1,1
723595,1,1
92919,1,1
109477,1,1
624988,1,1
299879,1,1
274204,1,1
477536,1,1
22129,1,1
964397,1,0
699122,1,1
608596,1,1
323794,1,1
588379,1,1
976383,1,1
757221,1,1
908411,1,1
520085,1,1
376427,1,1
25315,1,1
862311,1,1
895205,1,1
341561,1,1
682566,1,1
406144,1,1
218388,1,1
512857,1,1
167205,1,1
576783,1,1
636233,1,1
207053,1,1
587001,1,1
636234,1,1
553569,1,1
683302,1,1
808124,1,1
511409,1,1
7370,1,1
740845,1,1
914564,1,1
692644,1,1
222446,1,1
284313,1,1
89613,1,0
277126,1,1
73335,1,1
311343,1,1
658656,1,1
117441,1,1
951349,1,1
366107,1,1
688529,1,1
595123,1,0
146757,1,1
421603,1,1
260554,1,1
163425,1,1
47861,1,1
499406,1,1
96641,1,1
728364,1,1
169649,1,1
314155,1,1
808600,1,1
177042,1,1
178035,1,1
108485,1,1
377084,1,1
306700,1,1
159355,1,1
563203,1,1
85395,1,1
792602,1,1
109325,1,1
603923,1,1
75277,1,1
283373,1,1
645691,1,1
148506,1,1
743807,1,1
909690,1,1
350300,1,1
913269,1,1
673840,1,0
42347,1,1
972044,1,1
751780,1,1
710298,1,1
792761,1,1
970384,1,1
187471,1,1
196419,1,1
936286,1,1
815461,1,1
706660,1,1
191820,1,1
875828,1,1
139361,1,1
344440,1,1
119894,1,0
105196,1,1
835908,1,1
853095,1,1
890613,1,1
140377,1,1
481267,1,1
347158,1,0
755457,1,1
742579,1,1
10060,1,1
975593,1,1
905934,1,1
782745,1,1
874024,1,1
279335,1,1
774585,1,1
432637,1,1
769597,1,1
962273,1,1
447629,1,1
52663,1,1
903329,1,1
579343,1,1
303048,1,1
89467,1,1
710859,1,1
220533,1,1
751116,1,1
108826,1,1
952933,1,1
979560,1,1
513144,1,1
149174,1,1
228711,1,1
415313,1,1
13489,1,1
66505,1,1
930926,1,1
210580,1,1
488106,1,1
469085,1,0
215454,1,1
797747,1,1
431293,1,1
606755,1,1
784206,1,1
984635,1,1
236215,1,1
76278,1,1
622156,1,1
850739,1,1
544003,1,1
535300,1,1
259724,1,1
22471,1,1
505776,1,1
712729,1,1
833135,1,1
731319,1,1
22679,1,1
329413,1,1
620629,1,1
866500,1,1
464360,1,1
442548,1,1
593022,1,1
757678,1,1
574551,1,1
622078,1,1
221154,1,1
994945,1,1
879599,1,1
957098,1,1
528219,1,1
432087,1,1
228114,1,1
943926,1,1
719673,1,1
770347,1,1
265677,1,1
995663,1,1
187357,1,1
928894,1,1
730491,1,1
9547,1,1
537080,1,1
272710,1,1
397246,1,1
580840,1,1
358878,1,1
796956,1,0
915258,1,1
493627,1,1
56189,1,1
830598,1,1
369436,1,1
741387,1,1
852186,1,1
344671,1,1
912217,1,1
784341,1,1
456995,1,1
451837,1,1
333186,1,1
402752,1,1
201136,1,1
131653,1,1
89312,1,1
89313,1,1
263927,1,1
361443,1,1
292097,1,0
709538,1,1
341412,1,1
179778,1,1
32387,1,1
119582,1,0
942883,1,1
437225,1,1
60122,1,1
784527,1,1
270892,1,1
233791,1,1
60789,1,1
153400,1,1
511827,1,1
348516,1,1
951551,1,1
498312,1,1
301897,1,1
454900,1,1
842425,1,0
986243,1,1
914880,1,1
719993,1,1
277975,1,1
275078,1,1
453560,1,1
588698,1,1
735169,1,1
307461,1,1
964750,1,1
430712,1,1
289569,1,1
684815,1,1
339629,1,0
336579,1,1
769723,1,1
643184,1,1
798246,1,1
897042,1,1
751637,1,1
175670,1,1
74340,1,1
942766,1,1
911887,1,1
958851,1,1
875203,1,1
400341,1,1
924644,1,1
755924,1,1
488139,1,1
69113,1,1
540160,1,1
781624,1,1
443637,1,1
427591,1,1
283646,1,1
309039,1,1
381499,1,1
258194,1,1
846918,1,1
466515,1,0
689643,1,1
477674,1,1
137414,1,1
667193,1,1
529396,1,1
821884,1,1
611770,1,1
702181,1,1
461283,1,0
23081,1,1
305202,1,0
515047,1,1
795972,1,1
541344,1,1
519842,1,1
338149,1,1
818576,1,1
339913,1,1
272837,1,1
865716,1,1
571678,1,1
137464,1,1
532196,1,1
916670,1,1
353623,1,1
824049,1,1
765646,1,1
647792,1,1
504547,1,1
600282,1,1
541465,1,1
652474,1,1
192625,1,1
248776,1,1
330176,1,1
529722,1,1
130536,1,1
685514,1,1
366504,1,1
953713,1,1
799415,1,1
974770,1,1
321646,1,1
875013,1,1
48550,1,1
238162,1,1
221196,1,1
834583,1,1
153336,1,1
349933,1,1
951076,1,1
111464,1,1
435117,1,1
945859,1,1
468635,1,1
12579,1,1
794587,1,1
924185,1,1
368994,1,1
855262,1,1
574594,1,1
237605,1,1
727987,1,1
100507,1,1
28952,1,1
317238,1,1
747155,1,1
982023,1,1
139052,1,1
480177,1,1
496051,1,1
530743,1,1
534440,1,0
276728,1,1
622755,1,1
612858,1,1
594372,1,1
568892,1,1
337125,1,1
512060,1,1
991742,1,1
831945,1,1
928930,1,1
353102,1,1
388843,1,1
551298,1,1
697722,1,1
795801,1,0
852813,1,1
602307,1,1
920861,1,1
286060,1,1
831376,1,1
857302,1,1
948372,1,1
767648,1,1
839589,1,1
93174,1,1
313492,1,1
471927,1,1
639094,1,1
976372,1,1
788994,1,1
479700,1,1
641092,1,1
473750,1,1
397104,1,1
953096,1,1
597981,1,1
68192,1,1
157544,1,1
562696,1,1
526393,1,1
117287,1,1
399525,1,1
203836,1,1
956312,1,1
847312,1,1
216085,1,1
978030,1,1
405152,1,1
763423,1,0
4488,1,1
991811,1,1
800440,1,1
359795,1,1
899840,1,1
91384,1,0
225541,1,1
230528,1,1
682421,1,1
57815,1,1
657334,1,1
707249,1,1
217970,1,1
404418,1,1
160101,1,1
414044,1,1
705378,1,0
830175,1,1
855284,1,1
600130,1,1
671975,1,1
998457,1,0
489106,1,1
467837,1,1
261434,1,1
192820,1,1
296244,1,1
836104,1,1
707700,1,1
504114,1,1
589841,1,1
125772,1,1
443000,1,1
404237,1,1
161682,1,1
573877,1,1
36260,1,1
2090,1,1
895824,1,1
787654,1,1
102868,1,1
510465,1,1
198859,1,1
268892,1,1
657526,1,1
800421,1,1
468937,1,1
408898,1,1
667092,1,1
815762,1,1
479891,1,1
324986,1,1
635272,1,1
17276,1,1
778562,1,1
323176,1,1
590981,1,1
459285,1,1
867039,1,1
535766,1,1
959817,1,1
507642,1,1
607372,1,1
126252,1,1
292927,1,1
446706,1,1
789918,1,1
221426,1,1
767264,1,1
129815,1,1
933835,1,0
629708,1,1
767262,1,1
664654,1,1
109679,1,1
812843,1,1
635890,1,1
357309,1,1
791708,1,1
956428,1,1
682047,1,1
609908,1,1
808979,1,1
20762,1,1
386806,1,0
70161,1,1
269119,1,1
522184,1,1
390116,1,1
188805,1,1
675859,1,1
377752,1,1
324304,1,1
693859,1,1
943066,1,1
771599,1,1
256056,1,1
924593,1,1
725203,1,1
267900,1,1
497782,1,1
672826,1,1
476736,1,1
622413,1,1
179549,1,1
48506,1,1
697615,1,1
299094,1,1
901843,1,1
150376,1,1
480770,1,1
979785,1,1
177342,1,0
266111,1,1
47148,1,1
682610,1,1
182003,1,1
897343,1,1
68399,1,1
949805,1,1
818043,1,1
10120,1,1
764896,1,1
792258,1,1
167195,1,1
730785,1,1
994641,1,1
22993,1,1
793527,1,1
546617,1,1
727086,1,1
503242,1,1
279629,1,1
434964,1,1
459524,1,1
701453,1,1
382741,1,1
638586,1,1
841284,1,1
768501,1,1
784355,1,1
431845,1,1
881114,1,0
504069,1,1
571297,1,1
477468,1,1
548506,1,1
354399,1,1
957539,1,1
364219,1,1
551791,1,1
11534,1,1
366674,1,1
208452,1,1
936919,1,1
22417,1,1
43854,1,1
261698,1,1
877666,1,1
317513,1,1
756021,1,1
125220,1,1
448835,1,1
242373,1,1
430117,1,1
312516,1,1
463274,1,1
258229,1,1
5240,1,1
376118,1,1
218831,1,1
5673,1,1
151882,1,1
871963,1,1
698278,1,1
741921,1,1
617715,1,1
987033,1,1
648982,1,1
498715,1,1
300930,1,1
991472,1,1
620700,1,1
951488,1,1
792711,1,1
428774,1,1
210783,1,1
521145,1,1
72994,1,1
518970,1,1
663059,1,1
676312,1,1
685183,1,1
194752,1,1
507452,1,1
77735,1,1
880668,1,1
142908,1,1
560894,1,1
560046,1,1
617919,1,1
954400,1,1
338874,1,1
129677,1,1
721004,1,0
