IR,Num. Groups,Member Sub-Groups,,,,,,Conn. Sub-Groups
908266,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G772-SUB-OTHERS,,,,
292927,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G772-SUB-OTHERS,,,,
976383,2,GANG-G772-SUB-3,,,,,,GANG-G772-SUB-1,
95691,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G784-SUB-3,
933835,2,GANG-G772-SUB-OTHERS,GANG-G784-SUB-3,,,,,
831493,2,GANG-G772-SUB-2,,,,,,GANG-G772-SUB-1,
794587,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G772-SUB-3,
682047,2,GANG-G772-SUB-3,,,,,,GANG-G772-SUB-OTHERS,
642259,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G772-SUB-3,
612858,2,GANG-G772-SUB-1,,,,,,GANG-G772-SUB-2,
605001,2,GANG-G772-SUB-2,,,,,,GANG-G772-SUB-1,
553569,2,GANG-G772-SUB-1,,,,,,GANG-G772-SUB-3,
344842,2,GANG-G772-SUB-1,,,,,,GANG-G772-SUB-2,
292600,2,GANG-G772-SUB-1,,,,,,GANG-G772-SUB-2,
288029,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G784-SUB-3,
142104,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G772-SUB-3,
100952,2,GANG-G772-SUB-OTHERS,,,,,,GANG-G784-SUB-3,
