f,gnode,inbound,deltaT,signals,outbound,rawRatio,totalSupportInstances,positiveSupportInstances,stdDev,stdErr
notInGang,taut,[1.0:1.0],1,10,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,1,[0.619236800906:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,3,[0.73656453006:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,2,[0.726864048406:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,5,[0.778222531635:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,4,[0.73656453006:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,7,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,6,[0.778222531635:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,9,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,8,[1.0:1.0],0,0,0,0,0
