FROM_INCIDENT_ID	TO_INCIDENT_ID
040753	209547
209547	040753
085981	282177
089667	085981
089667	282177
089667	282177
085981	089667
282177	089667
282177	085981
089667	085981
085981	089667
085981	282177
282177	085981
282177	089667
435197	868127
868127	435197
868127	435197
435197	868127
359447	382982
161934	912631
161934	330618
539026	382982
382982	539026
359447	539026
161934	912631
330618	912631
457282	912631
330618	457282
912631	457282
161934	457282
457282	330618
161934	330618
912631	330618
330618	161934
457282	161934
912631	161934
382982	359447
539026	359447
359447	382982
359447	539026
382982	359447
382982	539026
539026	359447
539026	382982
912631	161934
912631	457282
912631	330618
457282	330618
457282	161934
457282	912631
330618	161934
330618	912631
330618	457282
161934	457282
238909	679339
679339	238909
679339	238909
238909	679339
068338	435060
068338	435060
435060	068338
435060	068338
699394	232007
232007	699394
082095	361249
082095	361249
361249	082095
361249	082095
496564	786005
786005	496564
496564	786005
786005	496564
762424	797108
651475	645884
651475	576382
645884	576382
645884	651475
576382	645884
576382	651475
651475	645884
645884	576382
651475	576382
645884	651475
576382	651475
576382	645884
670748	454031
670748	454031
454031	670748
454031	670748
491552	878092
124396	878092
491552	124396
878092	124396
124396	491552
878092	491552
124396	491552
124396	878092
491552	878092
491552	124396
878092	124396
878092	491552
630299	032338
167216	032338
776241	167216
044915	032338
776241	032338
630299	776241
044915	776241
167216	776241
032338	167216
032338	630299
776241	630299
776241	044915
776241	032338
615300	468320
615300	468320
736384	736384
487395	736384
487395	736384
524795	270858
270858	524795
934060	068519
934060	068519
068519	934060
068519	934060
709277	009198
009198	709277
009198	709277
709277	009198
552885	537642
292417	537642
597757	537642
689925	537642
058433	537642
422175	537642
571806	537642
039781	537642
806503	537642
758332	537642
056220	537642
627662	537642
782145	537642
495540	537642
014276	537642
470267	537642
785233	537642
135973	537642
677646	537642
120564	537642
292417	689925
552885	689925
597757	689925
758332	689925
495540	689925
056220	689925
689925	689925
677646	689925
782145	689925
039781	689925
571806	689925
537642	689925
785233	689925
014276	689925
627662	689925
120564	689925
058433	689925
470267	689925
135973	689925
422175	689925
689925	056220
689925	058433
689925	537642
689925	627662
689925	782145
689925	422175
689925	571806
689925	677646
689925	552885
689925	597757
689925	120564
689925	039781
689925	135973
689925	014276
689925	758332
689925	785233
689925	806503
689925	470267
537642	552885
537642	597757
537642	782145
537642	495540
537642	627662
537642	470267
537642	292417
537642	014276
537642	689925
537642	056220
537642	039781
537642	677646
537642	758332
537642	135973
537642	422175
537642	120564
537642	785233
689925	292417
689925	495540
100993	409160
409160	100993
790049	281760
790049	459688
281760	790049
957817	505289
505289	957817
824412	613730
613730	824412
762424	797108
349696	349696
071900	234780
807607	349696
807607	234780
234780	234780
071900	234780
071900	071900
807607	071900
349696	071900
234780	807607
349696	807607
071900	349696
807607	234780
807607	349696
807607	071900
349696	807607
349696	071900
234780	349696
234780	807607
071900	349696
234780	349696
689950	806186
975839	806186
975839	806186
374113	806186
689950	129854
806186	129854
374113	129854
806186	689950
129854	689950
374113	689950
806186	374113
689950	374113
129854	374113
689950	975839
806186	975839
129854	975839
374113	975839
806186	975839
806186	129854
806186	374113
806186	689950
129854	806186
129854	975839
129854	689950
129854	374113
689950	806186
689950	975839
689950	129854
689950	374113
374113	806186
374113	129854
374113	975839
374113	689950
129854	806186
325507	461240
544188	325507
461240	325507
544188	461240
325507	544188
461240	544188
461240	544188
461240	325507
325507	461240
325507	544188
544188	461240
544188	325507
883625	932719
932719	883625
932719	883625
883625	932719
652070	769082
769082	652070
652070	769082
769082	652070
614388	933200
614388	809811
681971	809811
183610	809811
933200	809811
933200	681971
809811	681971
183610	681971
614388	681971
933200	614388
183610	614388
681971	614388
809811	614388
933200	183610
681971	183610
614388	183610
809811	183610
183610	933200
681971	933200
809811	933200
933200	614388
183610	809811
183610	614388
183610	681971
183610	933200
614388	933200
614388	681971
614388	183610
614388	809811
681971	614388
681971	809811
681971	933200
681971	183610
809811	614388
809811	183610
809811	681971
809811	933200
933200	809811
933200	681971
933200	183610
624451	935402
935402	624451
508953	079350
089354	079350
221287	079350
066996	079350
079350	089354
221287	089354
066996	089354
508953	089354
079350	221287
089354	221287
508953	221287
066996	221287
079350	508953
089354	508953
221287	508953
066996	508953
079350	221287
079350	508953
079350	089354
079350	066996
089354	221287
089354	066996
089354	508953
089354	079350
221287	508953
221287	089354
221287	079350
221287	066996
508953	066996
508953	221287
508953	079350
508953	089354
508953	066996
089354	066996
079350	066996
066996	089354
066996	221287
066996	508953
066996	079350
221287	066996
180039	563765
563765	180039
464174	907481
907481	464174
464174	907481
907481	464174
